Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR5282190,2017-02-24,2017-02-23,25513849,3852591199,0,151,1688,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282190,SRX2585836,29,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1999501,SAMN06437004,simple,4577,Zea mays,F42R1rep2,,,,,,,no,,,,,,SRA540190,,public,0F668B7F2C695F118911F3A55504AC02,898CBDEADFFDEF0EA993C05E093D892C
SRR5282191,2017-02-24,2017-02-23,26928117,4066145667,0,151,1829,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282191,SRX2585837,28,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1999502,SAMN06437003,simple,4577,Zea mays,Co255R2rep2,,,,,,,no,,,,,,SRA540190,,public,555665C60004DB42B46243CB8A2754F1,9ED608615D0B99ED6B0CB25CF650E83D
SRR5282192,2017-02-24,2017-02-23,26928117,4066145667,0,151,1779,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282192,SRX2585838,27,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1999503,SAMN06437002,simple,4577,Zea mays,Co255R1rep2,,,,,,,no,,,,,,SRA540190,,public,9544B56C8343BA2C9427332071672F55,77F77F1B625B1A7FEDCA18E1A1D4DA40
SRR5282193,2017-02-24,2017-02-23,24231355,3658934605,0,151,1656,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282193,SRX2585839,26,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1999504,SAMN06437001,simple,4577,Zea mays,CML322R2rep2,,,,,,,no,,,,,,SRA540190,,public,D1411B9A6D756F7780D9F5315EA467F0,D029399A19DCD78D75A937F6918E6FAD
SRR5282194,2017-02-24,2017-02-23,24231355,3658934605,0,151,1598,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282194,SRX2585840,25,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1999505,SAMN06437000,simple,4577,Zea mays,CML322R1rep2,,,,,,,no,,,,,,SRA540190,,public,AF12BCF05A3469892ACAE7816AFC9DAB,FD415E8A7289BE7E966A53F2DC762083
SRR5282195,2017-02-24,2017-02-23,24464774,3694180874,0,151,1660,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282195,SRX2585841,24,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1999506,SAMN06436999,simple,4577,Zea mays,B73R2rep2,,,,,,,no,,,,,,SRA540190,,public,BE6A6DC182EF018EC11360A7581F0A3F,4F37C571DED288064100E7D3F5C87D51
SRR5282196,2017-02-24,2017-02-23,24464774,3694180874,0,151,1614,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282196,SRX2585842,23,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1999507,SAMN06436998,simple,4577,Zea mays,B73R1rep2,,,,,,,no,,,,,,SRA540190,,public,9AEEB56CE9FFDBA38F468AAB0DFB9028,0D6EBDB8165141A062D3D1E5C6630402
SRR5282197,2017-02-24,2017-02-23,26108618,3942401318,0,151,1766,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282197,SRX2585843,22,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1999508,SAMN06436997,simple,4577,Zea mays,B64R2rep2,,,,,,,no,,,,,,SRA540190,,public,A94EA98DD6550BE8B9E883834720EB79,BEEE427C536CABA589FDB588509840E0
SRR5282198,2017-02-24,2017-02-23,26108618,3942401318,0,151,1717,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282198,SRX2585844,21,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1999509,SAMN06436996,simple,4577,Zea mays,B64R1rep2,,,,,,,no,,,,,,SRA540190,,public,4130F3F9A8E297A262685492B26625F3,48ECA49C02AAB83E5919F8FF3410194D
SRR5282199,2017-02-24,2017-02-23,21667535,3271797785,0,151,1470,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR5282199,SRX2585845,20,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100471,PRJNA376191,,376191,SRS1999510,SAMN06436995,simple,4577,Zea mays,B57R2rep2,,,,,,,no,,,,,,SRA540190,,public,F9DD81562A0CBD0A7D30BFB998D60E79,861F70785ABCD93EE2B495CD00BEB091
