Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR1059449,2/3/16,3/3/16,20639451,4169169102,20639451,202,2714,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059449,ERX1139600,MAGIC_66,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905551,SAMEA3598402,simple,4577,Zea mays,E-MTAB-3965:MAGIC_66,,,,,,,no,,,,,GATC biotech,ERA524061,,public,EE3778AC3B32FE64E797BB1991E93900,B013D2972FA5603DC2771006D70C587C
ERR1059450,2/3/16,2/3/16,16635507,3360372414,16635507,202,2208,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059450,ERX1139601,MAGIC_67,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905552,SAMEA3598403,simple,4577,Zea mays,E-MTAB-3965:MAGIC_67,,,,,,,no,,,,,GATC biotech,ERA524061,,public,9ED40E57C4D9157D48DEC664570D8137,A4CB541666F691D8AAB30E2E661CA41B
ERR1059451,2/3/16,3/3/16,20748224,4191141248,20748224,202,2631,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059451,ERX1139602,MAGIC_68,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905553,SAMEA3598404,simple,4577,Zea mays,E-MTAB-3965:MAGIC_68,,,,,,,no,,,,,GATC biotech,ERA524061,,public,8EE29E8BC122EF28F3821EF5E888D72F,04BBBECB90BDAD2CFAC62C9C9CF12DFB
ERR1059452,2/3/16,3/3/16,22693624,4584112048,22693624,202,2892,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059452,ERX1139603,MAGIC_69,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905554,SAMEA3598405,simple,4577,Zea mays,E-MTAB-3965:MAGIC_69,,,,,,,no,,,,,GATC biotech,ERA524061,,public,195E4CCAD7BCCC0128042E2C4952333C,EF7FFF9EF2D0C6D40C5143AA6A53A1BD
ERR1059453,2/3/16,3/3/16,16278577,3288272554,16278577,202,2120,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059453,ERX1139604,MAGIC_7,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905555,SAMEA3598406,simple,4577,Zea mays,E-MTAB-3965:MAGIC_7,,,,,,,no,,,,,GATC biotech,ERA524061,,public,F8C9B4C72A8EB531904CBC6AD6474BC7,3EE6F4DEC51E842D60D1F3FBE863B112
ERR1059454,2/3/16,3/3/16,22066494,4457431788,22066494,202,2691,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059454,ERX1139605,MAGIC_70,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905556,SAMEA3598407,simple,4577,Zea mays,E-MTAB-3965:MAGIC_70,,,,,,,no,,,,,GATC biotech,ERA524061,,public,DB20736DFDE380F71FCC677A4ECC61F7,805DC7A54D4344A67DCEF63CE97A754B
ERR1059455,2/3/16,3/3/16,17632255,3561715510,17632255,202,2241,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059455,ERX1139606,MAGIC_71,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905557,SAMEA3598408,simple,4577,Zea mays,E-MTAB-3965:MAGIC_71,,,,,,,no,,,,,GATC biotech,ERA524061,,public,1FACA5A867ADB38CD92331F57D4FFE34,7F20C7B499A9013ED3B34D0414E15708
ERR1059456,2/3/16,3/3/16,21053024,4252710848,21053024,202,2678,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059456,ERX1139607,MAGIC_72,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905558,SAMEA3598409,simple,4577,Zea mays,E-MTAB-3965:MAGIC_72,,,,,,,no,,,,,GATC biotech,ERA524061,,public,7DA5599078CF0CAC9D8EA92E9BA858F9,9DDF4450DE43A86619F1C36FE4565134
ERR1059457,2/3/16,3/3/16,18535686,3744208572,18535686,202,2359,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059457,ERX1139608,MAGIC_73,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905559,SAMEA3598410,simple,4577,Zea mays,E-MTAB-3965:MAGIC_73,,,,,,,no,,,,,GATC biotech,ERA524061,,public,7A5F958DB8F0B432F257B34B1DEFA545,2944E98936DC2F49ABB5E581E8B02A6A
ERR1059458,2/3/16,3/3/16,15389037,3108585474,15389037,202,1960,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059458,ERX1139609,MAGIC_74,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905560,SAMEA3598411,simple,4577,Zea mays,E-MTAB-3965:MAGIC_74,,,,,,,no,,,,,GATC biotech,ERA524061,,public,399F9F40AE7BA905983F69D4E8F13D50,7747E3C5AB70BCFA44C7FFEDEB6C0CE3
