post_project	post_tags	post_curator	post_reviewer	post_editor	post_date	post_file_title	paper_1st_author_lastname	paper_year	paper_doi	paper_link	data_sample_size	data_sample_file_path	data_n_tissue	data_tissue_name_or_file	data_file_size	data_source	data_source_id	data_n_pheno	data_pheno_file	data_other_type	data_other_size_file	data_other_file
RNA-seq	"RIL, QTL, pheno"	Jinliang Yang			12/8/16	2016-12-08-RNA-seq-RILs.md	Li	2013		http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003202	105	data/li_etal_2013_sample.txt	1	14 days seedlings	620G	SRA	SRP017111	NA	NA	RPKM AGPv2	NA	li_etal_2013_rpkm.txt
RNA-seq	"RIL, QTL, pheno"	Jinliang Yang			12/8/16	2016-12-08-RNA-seq-RILs.md	Baute	2015		http://genomebiology.biomedcentral.com/articles/10.1186/s13059-015-0735-9	103	data/baute_etal_2015_sample.txt	1	first 0.5cm of the most basal part of leaf 4 three days	408G	SRA	ERP011069	14	https://static-content.springer.com/esm/art%3A10.1186%2Fs13059-015-0735-9/MediaObjects/13059_2015_735_MOESM3_ESM.xlsx	NA	NA	NA
SNP-chip	SNP600k	Jeffrey Ross-Ibarra			9/26/16	2016-09-26-55k_diversity.md	Millet	2016		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5047082/	244	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA
Accessions	PI	Jinliang Yang			2/9/17	2017-02-09-accessions-PI.md	NA	NA		NA	1	data/accession_file.txt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Genomics	GBS																					
	BSA				2/9/17		Haase	2015			244		1	file_path_to.txt								
Genomics	MNase	Michelle Stitzer			2/9/17																	
Genomics	CHIP-seq	Michelle Stitzer			2/9/17		Zhang	2014	10.1101/gr.155879.113	http://genome.cshlp.org/content/24/1/167	5	"B73, MO17, B73xMO17, MO17xB73"	1	"H3K27me3 Chip-seq, 12 DAP endosperm"	182.1G	SRA	SRP011991	NA	NA	NA	NA	NA
RNA-seq	DE-study	Michelle Stitzer			2/9/17		Zhang	2014	10.1101/gr.155879.113	http://genome.cshlp.org/content/24/1/167	5	"B73, B73xMO17, MO17xB73"	1	"12 DAP endosperm, 10 DAP endosperm, 12 day old shoot"	182.1G	SRA	SRP011991	NA	NA	NA	NA	NA
Methylomics	WGBS	Michelle Stitzer			2/9/17		Zhang	2014	10.1101/gr.155879.113	http://genome.cshlp.org/content/24/1/167	5	"B73, MO17, B73xMO17, MO17xB73"	1	12 DAP endosperm	182.1G	SRA	SRP011991	NA	NA	NA	NA	NA
Methylomics	WGBS	Michelle Stitzer			2/9/17		Li	2014	http:/_/_dx._doi._org/_10._1105/_tpc._114._133140	http://www.plantcell.org/content/26/12/4602.long	2	"B73, MO17"	1	14 day whole seedling	38.4G	SRA	SRP022569	NA	NA	NA	NA	NA
Methylomics	WGBS	Michelle Stitzer			2/9/17		NA	NA	NA	NA	1	TEO11	NA	NA	25.5G	SRA	SRP056444	NA	NA	NA	NA	NA
Genomics	WGS	Michelle Stitzer			2/9/17		Hu	2016	10.1534/genetics.115.184234	http://www.genetics.org/content/early/2016/02/18/genetics.115.184234	2	"haploid_inducer_CAU5, inbred_line_1680"	NA	NA	22.1G	SRA	SRP065659	NA	NA	NA	NA	NA
Genomics	WGS	Michelle Stitzer			2/9/17		Diez	2014	http://dx.doi.org/10.1371/journal.pgen.1004298	http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004298	2	"Olote_Colorado, Palomero_Toluqueno"	NA	NA	14.7G	SRA	SRP038951	NA	NA	NA	NA	NA
Genomics	CHIP-seq	Michelle Stitzer			2/9/17	2017-02-09-chipseq.md	Mickelson-Young	2016	https://doi.org/10.1093/jxb/erw367	https://academic.oup.com/jxb/article-lookup/doi/10.1093/jxb/erw367	4	B73	1	root tip (0-3 mm)	8.9G	SRA	SRP077760	NA	NA	NA	NA	NA
Genomics	WGS	Michelle Stitzer			2/9/17	2017-02-09-b73-wgs.md	NA	NA	NA	NA	1		NA	NA	30G	SRA	"ERR361371, ERR361370, ERR361369, ERR361368"	NA	NA	NA	NA	NA
Genomics	WGS	Michelle Stitzer			2/9/17	2017-02-09-minimaize.md	McCaw	2016	10.1534/genetics.116.191726	http://www.genetics.org/content/early/2016/07/15/genetics.116.191726	1		NA	NA	35.4G	SRA	SRR1747401	NA	NA	NA	NA	NA
Genomics	WGS	Markus Stetter			2/9/17		Hirsch	2014	doi: 10.1534/genetics.114.167155	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4174951/	3		1	NA	270G	SRA	SRP013705	NA	NA	NA	NA	NA
RNA-seq	"teosinte, mexicana"	Emily Josephs					Lu	2017	https://doi.org/10.3389/fpls.2017.00136	http://journal.frontiersin.org/article/10.3389/fpls.2017.00136/full?&utm_source=Email_to_authors_&utm_medium=Email&utm_content=T1_11.5e1_author&utm_campaign=Email_publication&field=&journalName=Frontiers_in_Plant_Science&id=243440	6		3	"combined roots, stems, leaves in control, cold, drought stress"		SRA	SRP068562	NA	NA	FPKM	1.7 Mb	GSE76939_gene_expression_fpkm.txt
RNA-seq	"GTEx, time-series"	Wenbin Mei			2/9/17	2017-02-09-Vitamin.md			NA	NA	184	"B73, CML103, CML228, CML247, CML277, CML322, CML333, CML52, CML69, Hp301, Il14H, Ki3, Ky21, M37W , Mo17, Mo18W, MS71, NC350, NC358, Oh43, Oh7B, P39, Tx303, Tzi8, Ky21"	5	"whole seed, root, leaf, shoot,"	429.06 G	SRA	SRP015339	NA	NA	NA	NA	NA
RNA-seq	atlas	Wenbin Mei			2/9/17																	
Chip-Seq		Dan Gates			9-Feb		Ko DK	2016	10.1371/journal.pgen.1006197	http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006197	48	B73 - MO13 - and reciptrocal hybrids	1	Aerial tissue	247GB	SRA	PRJNA280575	NA	"Co2 assimilation, growth and photosynthesis traits"	NA	NA	NA
Genomics	"WGS,BSA,selection-scan"	Gitanshu Munjal			2/9/17		Beissinger	2013	10.1534/genetics.113.160655	http://www.genetics.org/content/early/2013/12/30/genetics.113.160655	2	Bulk samples of pre- and post-selection pops	1	leaves infected with the ascomycete Colletotrichum graminicola	137.3G	SRA	SRP020239	NA	NA	NA	NA	NA
RNA-seq		Caryn Johansen					Eyun	2014	10.1371/journal.pone.0094052	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3981738/												
"RNA-seq,Bisulfate-seq"		Aimee Schulz			2/9/17		Regulski	2013	10.1101/gr.153510.112	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3787262/		"B73,Mo17,RIL1-9"		shoots at coleoptilar stage	572G	SRA	SRP014211		N/A	N/A	N/A	N/A
RNA-seq	RNA-seq	Ricardo Chavez			2/9/17		NA	NA	NA	NA	27	"Golden Jubilee, B73"	1	leaves infected with the ascomycete Colletotrichum graminicola	284G	ENA	PRJEB10574	1	NA	NA	NA	NA
RNA-seq		Rocio Aguilar			2/9/17		NA	2015														
RNA-seq		Taylor Crow			2/9/17		Lemmon	2014	10.1371/journal.pgen.1004745	https://www.ncbi.nlm.nih.gov/pubmed?linkname=sra_pubmed	44			"leaf, stem, ear, tassel"								
RNA-Seq	tissue	Ruben Rellan	Ruben		2/9/17		Seaver	2015	10.3389/fpls.2015.00142	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4354304/	12		4	"root, shoot, ear, tassel"	319G	SRA	SRP011480					
Genomics																						
Genomics	WGS	Markus Stetter			2/9/17		Li	2015	DOI: 10.1038/ncomms7648	http://www.nature.com/articles/ncomms7648			1	Miotic cells from single cell	300G	SRA	SRP047362	NA	NA	NA	NA	NA
GBS		Aimee Schulz			2/9/17		NA	NA	NA	NA	1	PH207	NA	NA	151G	SRA	SRP077208					
RNA-Seq		Ruben Rellan			2/9/17		Freeling	2015	10.1016/j.pbi.2015.07.001	http://www.sciencedirect.com/science/article/pii/S1369526615001041	2	"Sb BTx623, Zm B73"	5	"pollen, microspore, root, root_no_hairs, ligule_and_epidermis"		SRA	SRP067853	NA				
RNA-Seq	MAGIC	Markus Stetter			2/9/17		NA	NA	NA	NA	NA	"(MAGIC) population, originating from nine parental lines (A632, B73, B96, F7, H99, HP301, Mo17, W153R and CML91) followed by 6 generations of self-pollination"	1	proliferative tissue of growing leaf	NA	SRA	ERP012784	NA	NA	NA	NA	DOI: 10.1186/s13059-015-071
RNA-Seq	QTL	Aimee Schulz			2/9/17		Chen	2014	10.1186/1471-2164-15-433	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4059873/	708	F2 progeny derived from inbreds Chang7-2 and 787		100mg fresh leaf tissue	71G	SRA	SRP042173		tassel and ear architecture			
Genomics	WGS	Gitanshu Munjal			2/9/17		NA	NA	NA	NA	31	31 Maize Inbreds	NA	NA	818.3G	SRA	SRP047159	NA	NA	NA	NA	NA
Genomics	GBS	Dan Gates					NA	NA	NA	NA	1	PHG87	NA	NA	35.5	SRA	SRP077203 PRJNA251167	NA	NA	NA	NA	NA
Genomics	GBS	Gitanshu Munjal			2/9/17							GBS sequencing of 42 inbreds in Maize AMES diversity panel			219.2G	SRA	SRP021921	NA	NA	NA	NA	data/barcodes-SRP021921.txt
Genomics	GBS	Dan Gates			2/9/17		NA	NA	NA	NA	1	B84	NA		52.6	SRA	SRP077219 PRJNA251168	NA	NA	NA	NA	NA
Genomics	Chip-Seq	Aimee Schulz			2/9/17		NA	2016				23 inbreds of domesticated maize			308G	SRA	SRP067358	NA	NA	NA	NA	NA
Genomics	GBS	Dan Gates			2/9/17		NA	NA	NA	NA	1	PHB47	NA	NA	35.8	SRA	SRP077220 PRJNA251121	NA	NA	NA	NA	NA
